,mlbam_pitch_name,start_speed,spin,pfx_x,pfx_z,x0,z0
0,FF,95.26,216.524,-6.049842628942633,10.109146220018877,-3.399307069966577,5.182312870708265
1,FF,95.55,214.59099999999998,-5.283439793756628,9.774442100679934,-3.4392835584729315,5.155636177845116
2,FF,95.98,223.69299999999998,-7.044864706691067,8.669317235706368,-3.36439516015531,5.304157204690738
3,FF,96.66,222.49,-7.069067601813631,9.093089945155068,-3.4379512658010767,5.1533559366353225
4,FF,97.35,218.06400000000002,-6.485585583631788,9.980372108063664,-3.4083035362848664,5.132984948571441
5,FF,96.78,215.10299999999998,-4.887893855023514,8.955406743732588,-3.3912172306918373,5.167198215757919
6,FF,96.58,218.68099999999998,-6.547770340571224,9.844553102666511,-3.4319848836210696,5.42571229076607
7,FF,96.17,212.773,-4.713259451205832,9.580223197576624,-3.4001154834482685,5.351708078626442
8,FT,94.54,248.495,-9.499162817273405,3.701770526352765,-3.39444104520844,5.231930763411427
9,SL,84.25,114.46799999999999,4.800313821296848,-0.07951933061968472,-3.4026115655888267,5.4141617438376235
10,FT,93.95,237.28599999999997,-10.852713115118496,7.4527638048365725,-3.3613350295565327,5.332805706347844
11,FF,96.7,219.93099999999998,-6.969808612075464,9.871078562765627,-3.5165263260501964,5.232793375197012
12,FF,97.68,222.32,-7.0549713361900315,9.08312028042021,-3.373712221103424,5.286758179978365
13,FT,95.54,237.287,-9.79179586367031,6.756469925912671,-3.412223478204188,5.316687473429129
14,FF,98.37,208.225,-3.731728910917904,9.691599701905632,-3.240979463509975,5.42955047370789
15,CH,87.36,261.627,-11.411214585209212,1.0319247602789008,-3.2825342459830296,5.310892302939773
